,country,points,variety,winery,winery_search
86179,France,93,Chardonnay,Maison Champy,Maison Champy winery France
86181,US,93,Pinot Noir,Phillips Hill,Phillips Hill winery US
86186,France,93,Pinot Noir,David Duband,David Duband winery France
86187,France,93,Chardonnay,Domaine Billaud-Simon,Domaine Billaud-Simon winery France
86191,US,93,Cabernet Sauvignon,Sleeping Giant,Sleeping Giant winery US
86192,US,93,Chardonnay,Arcadian,Arcadian winery US
86193,US,93,Pinot Noir,August West,August West winery US
86195,US,85,Pinot Noir,Wapato Point Cellars,Wapato Point Cellars winery US
86201,US,85,Sauvignon Blanc,Steelhead Vineyards,Steelhead Vineyards winery US
86208,US,85,Chardonnay,Joanne Weir,Joanne Weir winery US
86218,US,85,Merlot,Rutherford Ranch,Rutherford Ranch winery US
86220,US,85,Merlot,Ancient Peaks,Ancient Peaks winery US
86221,US,91,Pinot Noir,Elk Cove,Elk Cove winery US
86227,US,91,Merlot,Greenwood Ridge,Greenwood Ridge winery US
86228,Italy,91,Merlot,Terrabianca,Terrabianca winery Italy
86232,Italy,91,Cabernet Sauvignon,Castellare di Castellina,Castellare di Castellina winery Italy
86237,US,91,Cabernet Sauvignon,Reverie,Reverie winery US
86240,US,91,Merlot,Hartwell,Hartwell winery US
86241,Australia,91,Chardonnay,Littore,Littore winery Australia
86243,Australia,91,Chardonnay,Penfolds,Penfolds winery Australia
86247,Italy,91,Cabernet Sauvignon,Falchini,Falchini winery Italy
86248,Italy,91,Cabernet Sauvignon,Gualdo del Re,Gualdo del Re winery Italy
86252,Chile,83,Pinot Noir,Agustinos,Agustinos winery Chile
86253,Chile,83,Sauvignon Blanc,Porta,Porta winery Chile
86255,Chile,83,Sauvignon Blanc,François Lurton,François Lurton winery Chile
86256,Chile,83,Chardonnay,Rayun,Rayun winery Chile
86257,France,83,Rosé,Château Larroque,Château Larroque winery France
86259,US,83,Cabernet Sauvignon,Daniel Gehrs,Daniel Gehrs winery US
86262,Chile,83,Cabernet Sauvignon,Alto Los Romeros,Alto Los Romeros winery Chile
86265,Chile,83,Cabernet Sauvignon,Beach Kite,Beach Kite winery Chile
86266,France,83,Riesling,Cave Freudenreich,Cave Freudenreich winery France
86268,France,83,Riesling,Pierre Deschamps,Pierre Deschamps winery France
86269,Chile,83,Sauvignon Blanc,Rios de Chile,Rios de Chile winery Chile
86270,France,83,Riesling,Domaine Moltès,Domaine Moltès winery France
86273,US,83,Merlot,Wellington,Wellington winery US
86278,France,83,Pinot Noir,Vieil Armand,Vieil Armand winery France
86279,US,82,Sauvignon Blanc,Brutocao,Brutocao winery US
86280,Chile,84,Sauvignon Blanc,Peñalolen,Peñalolen winery Chile
86282,US,84,Merlot,Provenance Vineyards,Provenance Vineyards winery US
86283,US,84,Cabernet Sauvignon,Rosenblum,Rosenblum winery US
86284,France,84,Chardonnay,Simonnet-Febvre,Simonnet-Febvre winery France
86287,US,84,Chardonnay,Lake Sonoma,Lake Sonoma winery US
86291,US,84,Sauvignon Blanc,Fritz,Fritz winery US
86297,US,84,Cabernet Sauvignon,Cupcake,Cupcake winery US
86300,US,84,Chardonnay,Paraiso Vineyards,Paraiso Vineyards winery US
86306,Chile,84,Cabernet Sauvignon,Quasar,Quasar winery Chile
86309,US,88,Pinot Noir,Purple Hands,Purple Hands winery US
86310,France,88,Sauvignon Blanc,Régis Minet,Régis Minet winery France
86317,Germany,88,Riesling,Johannishof,Johannishof winery Germany
86318,US,88,Pinot Noir,Boheme,Boheme winery US
86321,Portugal,88,Pinot Noir,Campolargo,Campolargo winery Portugal
86328,US,88,Chardonnay,Arrowood,Arrowood winery US
86332,Argentina,88,Cabernet Sauvignon,Domaine Jean Bousquet,Domaine Jean Bousquet winery Argentina
86333,France,88,Sauvignon Blanc,Domaine Sautereau,Domaine Sautereau winery France
86339,US,89,Pinot Noir,Vista Hills,Vista Hills winery US
86343,Germany,89,Riesling,Johann Falkenburg,Johann Falkenburg winery Germany
86344,Chile,89,Syrah,Lapostolle,Lapostolle winery Chile
86345,US,89,Pinot Noir,Noble Vines,Noble Vines winery US
86348,Australia,89,Riesling,Pewsey Vale,Pewsey Vale winery Australia
86353,US,89,Chardonnay,Rideau,Rideau winery US
86354,Chile,89,Merlot,Santa Carolina,Santa Carolina winery Chile
86356,US,89,Pinot Noir,Sonoma-Loeb,Sonoma-Loeb winery US
86357,Germany,89,Riesling,St. Urbans-Hof,St. Urbans-Hof winery Germany
86362,US,89,Pinot Noir,Argyle,Argyle winery US
86381,US,90,Cabernet Sauvignon,Basalt,Basalt winery US
86382,US,90,Pinot Noir,Big Table Farm,Big Table Farm winery US
86383,US,90,Chardonnay,Buena Vista,Buena Vista winery US
86387,US,90,Cabernet Sauvignon,Charles Smith,Charles Smith winery US
86393,US,90,Pinot Noir,Cristom,Cristom winery US
86395,Portugal,90,Syrah,Quinta do Monte d'Oiro,Quinta do Monte d'Oiro winery Portugal
86400,US,90,Chardonnay,Sextant,Sextant winery US
86401,US,90,Cabernet Sauvignon,Substance,Substance winery US
86404,US,90,Pinot Noir,Vinum Ferus,Vinum Ferus winery US
86405,Germany,90,Riesling,Von Schleinitz,Von Schleinitz winery Germany
86406,US,90,Pinot Noir,White Rose,White Rose winery US
86407,US,90,Cabernet Sauvignon,Zero One Vintners,Zero One Vintners winery US
86409,Germany,90,Riesling,Baron Knyphausen,Baron Knyphausen winery Germany
86411,Argentina,85,Merlot,Rutini,Rutini winery Argentina
86412,France,85,Sauvignon Blanc,Sauvion,Sauvion winery France
86415,Argentina,85,Pinot Noir,Alpataco,Alpataco winery Argentina
86416,Italy,85,Merlot,Cescon Italo Storia e Vini,Cescon Italo Storia e Vini winery Italy
86418,US,85,Pinot Noir,Dutch Henry Winery,Dutch Henry Winery winery US
86419,Italy,85,Merlot,Astoria,Astoria winery Italy
86424,France,85,Chardonnay,Pascal Bouchard,Pascal Bouchard winery France
86425,France,85,Sauvignon Blanc,Pierre Chainier,Pierre Chainier winery France
86426,US,85,Pinot Noir,Presqu'ile,Presqu'ile winery US
86428,US,85,Merlot,Kenwood,Kenwood winery US
86431,US,85,Sauvignon Blanc,Columbia Crest,Columbia Crest winery US
86433,France,85,Chardonnay,Domaine Pascal et Mireille Renaud,Domaine Pascal et Mireille Renaud winery France
86434,US,91,Pinot Noir,Transcendence,Transcendence winery US
86439,US,91,Pinot Noir,Labyrinth,Labyrinth winery US
86441,US,91,Pinot Noir,Le Cadeau,Le Cadeau winery US
86445,France,91,Pinot Noir,Manuel Olivier,Manuel Olivier winery France
86446,France,91,Pinot Noir,Manuel Olivier,Manuel Olivier winery France
86447,France,91,Pinot Noir,Manuel Olivier,Manuel Olivier winery France
86450,US,91,Pinot Noir,Ram's Gate,Ram's Gate winery US
86451,Germany,91,Riesling,Dr. H. Thanisch (Erben Müller-Burggraef),Dr. H. Thanisch (Erben Müller-Burggraef) winery Germany
86452,Germany,91,Riesling,Dr. H. Thanisch (Erben Thanisch),Dr. H. Thanisch (Erben Thanisch) winery Germany
86454,Germany,91,Riesling,St. Urbans-Hof,St. Urbans-Hof winery Germany
86455,US,91,Pinot Noir,Adelsheim,Adelsheim winery US
86456,US,91,Pinot Noir,Au Contraire,Au Contraire winery US
86457,US,91,Pinot Noir,Aubichon Cellars,Aubichon Cellars winery US
86461,US,91,Pinot Noir,Calista,Calista winery US
86464,US,93,Pinot Noir,Cristom,Cristom winery US
86465,France,93,Riesling,Domaine Bott-Geyl,Domaine Bott-Geyl winery France
86466,France,93,Pinot Noir,Domaine Delaporte,Domaine Delaporte winery France
86467,Germany,93,Riesling,Dr. Bürklin-Wolf,Dr. Bürklin-Wolf winery Germany
86468,US,93,Pinot Noir,Lucienne,Lucienne winery US
86470,US,93,Pinot Noir,O'Connor,O'Connor winery US
86473,Germany,93,Riesling,Reichsgraf von Kesselstatt,Reichsgraf von Kesselstatt winery Germany
86474,US,93,Pinot Noir,Saffron Fields Vineyard,Saffron Fields Vineyard winery US
86475,US,93,Riesling,Styring,Styring winery US
86476,US,93,Pinot Noir,Testarossa,Testarossa winery US
86477,US,93,Syrah,Law,Law winery US
86481,Germany,93,Riesling,Reichsgraf von Kesselstatt,Reichsgraf von Kesselstatt winery Germany
86482,Germany,93,Riesling,Reichsgraf von Kesselstatt,Reichsgraf von Kesselstatt winery Germany
86483,Germany,93,Riesling,Reichsgraf von Kesselstatt,Reichsgraf von Kesselstatt winery Germany
86485,Argentina,93,Cabernet Sauvignon,Salentein,Salentein winery Argentina
86491,US,93,Pinot Noir,Adelsheim,Adelsheim winery US
86492,US,87,Cabernet Sauvignon,Cameron Hughes,Cameron Hughes winery US
86494,France,87,Chardonnay,Cave des Grands Crus Blancs,Cave des Grands Crus Blancs winery France
86496,US,87,Rosé,Canihan,Canihan winery US
86502,US,87,Pinot Noir,Dierberg,Dierberg winery US
86503,France,87,Chardonnay,Domaine du Tariquet,Domaine du Tariquet winery France
86504,US,87,Riesling,Finn Hill,Finn Hill winery US
86505,US,87,Riesling,For a Song,For a Song winery US
86507,France,87,Riesling,Pierre and Charles Sparr,Pierre and Charles Sparr winery France
86508,France,87,Chardonnay,Romain Bouchard,Romain Bouchard winery France
86513,US,87,Chardonnay,Souverain,Souverain winery US
86516,France,87,Chardonnay,La Chablisienne,La Chablisienne winery France
86519,US,87,Pinot Noir,Frank Family,Frank Family winery US
86520,US,87,Cabernet Sauvignon,Greg Norman California Estates,Greg Norman California Estates winery US
86523,US,83,Rosé,Curtis,Curtis winery US
86526,US,83,Chardonnay,Edna Valley Vineyard,Edna Valley Vineyard winery US
86528,Chile,83,Merlot,Viña La Rosa,Viña La Rosa winery Chile
86529,US,83,Syrah,Mount Baker,Mount Baker winery US
86532,Chile,83,Rosé,Calcu,Calcu winery Chile
86533,Chile,83,Chardonnay,Santa Carolina,Santa Carolina winery Chile
86534,Chile,83,Sauvignon Blanc,Siegel,Siegel winery Chile
86535,US,83,Sauvignon Blanc,Starmont,Starmont winery US
86539,US,83,Chardonnay,Mount Baker,Mount Baker winery US
86540,Chile,83,Pinot Noir,Sassy Bitch,Sassy Bitch winery Chile
86541,New Zealand,85,Sauvignon Blanc,Brancott,Brancott winery New Zealand
86543,France,85,Sauvignon Blanc,Domaine des Berthiers,Domaine des Berthiers winery France
86544,US,85,Cabernet Sauvignon,Troon,Troon winery US
86545,US,85,Merlot,Weisinger's of Ashland,Weisinger's of Ashland winery US
86547,New Zealand,85,Cabernet Sauvignon,Caroline Bay,Caroline Bay winery New Zealand
86548,Chile,85,Pinot Noir,Morandé,Morandé winery Chile
86550,US,85,Cabernet Sauvignon,Troon,Troon winery US
86552,US,85,Merlot,Wooldridge Creek,Wooldridge Creek winery US
86553,US,85,Sauvignon Blanc,Emmolo,Emmolo winery US
86554,France,85,Chardonnay,Louis Latour,Louis Latour winery France
86556,South Africa,85,Sauvignon Blanc,Môreson,Môreson winery South Africa
86557,New Zealand,85,Riesling,Morworth Estate,Morworth Estate winery New Zealand
86558,France,85,Sauvignon Blanc,Marc Deschamps,Marc Deschamps winery France
86562,France,85,Sauvignon Blanc,Les Rochettes,Les Rochettes winery France
86563,US,85,Merlot,Henry Estate,Henry Estate winery US
86564,US,85,Merlot,Bridgeview,Bridgeview winery US
86565,Chile,85,Pinot Noir,Morandé,Morandé winery Chile
86566,US,85,Merlot,The Academy,The Academy winery US
86567,US,85,Pinot Noir,Rex Hill,Rex Hill winery US
86569,US,85,Merlot,Valley View,Valley View winery US
86570,New Zealand,84,Riesling,Canterbury House,Canterbury House winery New Zealand
86571,Portugal,85,Rosé,Terra d'Alter,Terra d'Alter winery Portugal
86577,US,85,Pinot Noir,Brotherhood,Brotherhood winery US
86582,France,85,Rosé,Château les Arromans,Château les Arromans winery France
86586,US,85,Cabernet Sauvignon,J. Rickards,J. Rickards winery US
86587,US,85,Chardonnay,Lamoreaux Landing,Lamoreaux Landing winery US
86588,Chile,85,Pinot Noir,Llai Llai,Llai Llai winery Chile
86591,US,85,Cabernet Sauvignon,Middle Ridge,Middle Ridge winery US
86592,US,84,Pinot Noir,Kenneth Volk,Kenneth Volk winery US
86593,US,84,Chardonnay,Lander-Jenkins,Lander-Jenkins winery US
86601,US,92,Pinot Noir,The Eyrie Vineyards,The Eyrie Vineyards winery US
86604,France,92,Pinot Noir,Nicolas Potel,Nicolas Potel winery France
86606,Germany,92,Riesling,Schloss Johannisberger,Schloss Johannisberger winery Germany
86607,US,92,Pinot Noir,Soquel Vineyards,Soquel Vineyards winery US
86608,US,92,Chardonnay,Stoller,Stoller winery US
86610,US,92,Cabernet Sauvignon,Amici,Amici winery US
86612,US,92,Pinot Noir,Hyland,Hyland winery US
86613,US,92,Pinot Noir,Hyland,Hyland winery US
86614,US,92,Rosé,Kokomo,Kokomo winery US
86615,US,92,Pinot Noir,Tongue Dancer,Tongue Dancer winery US
86617,US,92,Pinot Noir,Bethel Heights,Bethel Heights winery US
86619,US,92,Chardonnay,Blue Farm,Blue Farm winery US
86620,France,92,Pinot Noir,Chanson Père et Fils,Chanson Père et Fils winery France
86621,France,92,Chardonnay,Chanson Père et Fils,Chanson Père et Fils winery France
86623,France,92,Pinot Noir,Domaine Bruno Clair,Domaine Bruno Clair winery France
86624,US,92,Pinot Noir,Domaine Drouhin Oregon,Domaine Drouhin Oregon winery US
86625,France,92,Pinot Noir,Domaine Jacques Prieur,Domaine Jacques Prieur winery France
86626,France,92,Pinot Noir,Domaine Jean Fournier,Domaine Jean Fournier winery France
86628,US,92,Pinot Noir,El Pistolero,El Pistolero winery US
86629,Chile,92,Cabernet Sauvignon,Errazuriz,Errazuriz winery Chile
86630,Germany,92,Riesling,Fritz Haag,Fritz Haag winery Germany
86645,US,89,Cabernet Sauvignon,City Limits,City Limits winery US
86646,US,89,Cabernet Sauvignon,Co Dinn,Co Dinn winery US
86648,US,89,Chardonnay,Côte Bonneville,Côte Bonneville winery US
86651,US,89,Riesling,Figgins,Figgins winery US
86658,US,89,Pinot Noir,J Vineyards & Winery,J Vineyards & Winery winery US
86660,France,89,Syrah,Domaine des Remizières,Domaine des Remizières winery France
86666,US,85,Chardonnay,Nitty Gritty,Nitty Gritty winery US
86670,US,85,Chardonnay,River Road,River Road winery US
86678,France,85,Chardonnay,Jean-Claude Debeaune,Jean-Claude Debeaune winery France
86681,Mexico,85,Cabernet Sauvignon,Emevé,Emevé winery Mexico
86684,Argentina,85,Chardonnay,François Lurton,François Lurton winery Argentina
86690,Mexico,85,Cabernet Sauvignon,Vinos Magbel,Vinos Magbel winery Mexico
86692,US,82,Syrah,Peirano,Peirano winery US
86699,Spain,82,Chardonnay,Enate,Enate winery Spain
86703,US,81,Cabernet Sauvignon,Cooper Station,Cooper Station winery US
86707,Portugal,81,Rosé,Quinta Vale do Armo,Quinta Vale do Armo winery Portugal
86708,US,81,Riesling,Schmidt,Schmidt winery US
86709,US,81,Cabernet Sauvignon,Barra,Barra winery US
86710,US,81,Cabernet Sauvignon,Herman Walters,Herman Walters winery US
86715,Spain,80,Chardonnay,Idrias,Idrias winery Spain
86718,US,97,Cabernet Sauvignon,Betz Family,Betz Family winery US
86719,US,96,Cabernet Sauvignon,Mark Ryan,Mark Ryan winery US
86720,France,92,Chardonnay,Louis Jadot,Louis Jadot winery France
86726,Germany,92,Riesling,Von Schleinitz,Von Schleinitz winery Germany
86727,Germany,92,Riesling,Wittmann,Wittmann winery Germany
86728,US,92,Syrah,Jaffurs,Jaffurs winery US
86729,US,92,Syrah,Jaffurs,Jaffurs winery US
86731,US,92,Sauvignon Blanc,Chalk Hill,Chalk Hill winery US
86733,France,92,Pinot Noir,David Duband,David Duband winery France
86734,France,92,Pinot Noir,David Duband,David Duband winery France
86736,US,92,Pinot Noir,Forge Cellars,Forge Cellars winery US
86737,US,92,Syrah,Four Lanterns,Four Lanterns winery US
86741,South Africa,92,Chardonnay,Kershaw,Kershaw winery South Africa
86742,Israel,92,Cabernet Sauvignon,Yatir,Yatir winery Israel
86743,France,92,Chardonnay,Alex Gambal,Alex Gambal winery France
86744,US,92,Cabernet Sauvignon,Beaulieu Vineyard,Beaulieu Vineyard winery US
86751,US,92,Chardonnay,Expression 38,Expression 38 winery US
86752,US,92,Chardonnay,Neyers,Neyers winery US
86755,Germany,92,Riesling,Kirsten,Kirsten winery Germany
86756,US,92,Syrah,Klinker Brick,Klinker Brick winery US
86758,US,92,Riesling,Love & Squalor,Love & Squalor winery US
86761,US,92,Syrah,Halcon,Halcon winery US
86763,France,92,Pinot Noir,Albert Bichot,Albert Bichot winery France
86764,France,92,Pinot Noir,Albert Bichot,Albert Bichot winery France
86765,France,92,Pinot Noir,Albert Bichot,Albert Bichot winery France
86769,US,92,Pinot Noir,Calera,Calera winery US
86770,US,92,Chardonnay,Red Stitch,Red Stitch winery US
86771,US,92,Pinot Noir,Red Stitch,Red Stitch winery US
86772,US,92,Pinot Noir,Résonance,Résonance winery US
86773,Germany,92,Riesling,Robert Weil,Robert Weil winery Germany
86776,US,92,Pinot Noir,Soquel Vineyards,Soquel Vineyards winery US
86777,US,92,Chardonnay,Stoller,Stoller winery US
86778,US,92,Cabernet Sauvignon,The Farm Winery,The Farm Winery winery US
86780,US,86,Riesling,Rooster Hill,Rooster Hill winery US
86781,US,86,Rosé,Viento,Viento winery US
86782,US,86,Cabernet Sauvignon,Hess,Hess winery US
86784,US,86,Merlot,Marilyn,Marilyn winery US
86785,US,86,Merlot,Niner,Niner winery US
86787,US,86,Chardonnay,Paoletti,Paoletti winery US
86789,US,86,Cabernet Sauvignon,J. Rickards,J. Rickards winery US
86791,US,86,Cabernet Sauvignon,Swanson,Swanson winery US
86792,US,86,Syrah,Amalie Robert,Amalie Robert winery US
86795,US,86,Cabernet Sauvignon,C. Beck,C. Beck winery US
86796,US,86,Chardonnay,Cathedral Ridge,Cathedral Ridge winery US
86797,US,86,Cabernet Sauvignon,Cliff Creek,Cliff Creek winery US
86798,US,86,Pinot Noir,Coeur de Terre,Coeur de Terre winery US
86799,US,86,Pinot Noir,Coeur de Terre,Coeur de Terre winery US
86804,US,85,Chardonnay,Gnarly Head,Gnarly Head winery US
86805,US,85,Riesling,Waters Crest,Waters Crest winery US
86809,Germany,91,Riesling,Dr. F. Weins-Prüm,Dr. F. Weins-Prüm winery Germany
86810,Italy,91,Cabernet Sauvignon,Castello Banfi,Castello Banfi winery Italy
86816,Italy,91,Syrah,Renieri,Renieri winery Italy
86822,US,91,Pinot Noir,Lost Canyon,Lost Canyon winery US
86823,Italy,91,Cabernet Sauvignon,Máté,Máté winery Italy
86825,Germany,91,Riesling,Mönchhof,Mönchhof winery Germany
86829,Germany,90,Riesling,Willi Haag,Willi Haag winery Germany
86830,Germany,90,Riesling,Willi Haag,Willi Haag winery Germany
86832,US,90,Chardonnay,Del Rio,Del Rio winery US
86844,Chile,87,Sauvignon Blanc,Valle Hermoso,Valle Hermoso winery Chile
86848,US,86,Sauvignon Blanc,Napa Cellars,Napa Cellars winery US
86850,Argentina,84,Cabernet Sauvignon,Loscano,Loscano winery Argentina
86854,France,84,Sauvignon Blanc,Bernier,Bernier winery France
86858,France,84,Pinot Noir,Nicolas Idiart,Nicolas Idiart winery France
86860,Portugal,84,Rosé,Terras de Alter,Terras de Alter winery Portugal
86862,Argentina,84,Cabernet Sauvignon,Carlos Basso,Carlos Basso winery Argentina
86865,Argentina,84,Cabernet Sauvignon,Finca Perdriel,Finca Perdriel winery Argentina
86866,France,84,Chardonnay,Jean-Luc and Paul Aegerter,Jean-Luc and Paul Aegerter winery France
86867,Portugal,84,Rosé,Wines & Winemakers,Wines & Winemakers winery Portugal
86871,Spain,83,Sauvignon Blanc,Pablo Claro,Pablo Claro winery Spain
86874,US,83,Merlot,Del Rio,Del Rio winery US
86877,US,83,Pinot Noir,Armanino Family Cellars,Armanino Family Cellars winery US
86880,Australia,87,Chardonnay,Andrew Harris,Andrew Harris winery Australia
86881,US,87,Cabernet Sauvignon,Arrowood,Arrowood winery US
86884,Australia,87,Chardonnay,Tyrrell's,Tyrrell's winery Australia
86885,Australia,87,Chardonnay,Hardys,Hardys winery Australia
86886,Australia,87,Chardonnay,Hope Estate,Hope Estate winery Australia
86888,Australia,87,Chardonnay,Margan,Margan winery Australia
86890,Australia,87,Chardonnay,Penfolds,Penfolds winery Australia
86891,Australia,87,Chardonnay,Ross Estate,Ross Estate winery Australia
86892,Australia,87,Chardonnay,Stonehaven,Stonehaven winery Australia
86893,Australia,87,Chardonnay,Yangarra Park,Yangarra Park winery Australia
86894,US,86,Chardonnay,Badger Mountain,Badger Mountain winery US
86895,Australia,86,Chardonnay,Nepenthe,Nepenthe winery Australia
86896,Australia,86,Chardonnay,McGuigan,McGuigan winery Australia
86897,US,86,Syrah,Jaffurs,Jaffurs winery US
86898,South Africa,86,Chardonnay,Glen Carlou,Glen Carlou winery South Africa
86900,Chile,86,Pinot Noir,D. Bosler,D. Bosler winery Chile
86902,US,86,Chardonnay,Bridgman,Bridgman winery US
86903,South Africa,86,Chardonnay,Malan,Malan winery South Africa
86904,Chile,86,Chardonnay,Calina,Calina winery Chile
86905,Chile,86,Syrah,Errazuriz,Errazuriz winery Chile
86906,Australia,88,Chardonnay,Bellarine Estate,Bellarine Estate winery Australia
86908,New Zealand,88,Chardonnay,Felton Road,Felton Road winery New Zealand
86910,South Africa,88,Chardonnay,Simonsig,Simonsig winery South Africa
86911,Australia,88,Chardonnay,Sandalford,Sandalford winery Australia
86912,Australia,88,Chardonnay,Reynolds,Reynolds winery Australia
86913,US,88,Merlot,Gainey,Gainey winery US
86914,US,88,Chardonnay,Caterina,Caterina winery US
86916,US,88,Chardonnay,Wölffer,Wölffer winery US
86917,US,88,Chardonnay,Woodward Canyon,Woodward Canyon winery US
86920,US,88,Merlot,Sebastiani,Sebastiani winery US
86922,US,88,Cabernet Sauvignon,Geyser Peak,Geyser Peak winery US
86923,US,88,Cabernet Sauvignon,Dry Creek Vineyard,Dry Creek Vineyard winery US
86925,Australia,87,Chardonnay,Mak,Mak winery Australia
86926,Australia,87,Chardonnay,McPherson Wine Company,McPherson Wine Company winery Australia
86927,Australia,87,Chardonnay,Killerby,Killerby winery Australia
86929,US,87,Chardonnay,Fox Run,Fox Run winery US
86931,US,90,Cabernet Sauvignon,Gargiulo,Gargiulo winery US
86934,US,90,Cabernet Sauvignon,Cali 351,Cali 351 winery US
86936,Germany,90,Riesling,Dr. Loosen,Dr. Loosen winery Germany
86941,US,90,Sauvignon Blanc,Geyser Peak,Geyser Peak winery US
86944,US,90,Cabernet Sauvignon,Carpe Diem,Carpe Diem winery US
86945,Australia,90,Cabernet Sauvignon,D'Arenberg,D'Arenberg winery Australia
86946,US,90,Riesling,David Hill,David Hill winery US
86949,US,90,Cabernet Sauvignon,Rodney Strong,Rodney Strong winery US
86954,US,90,Pinot Noir,Ampelos,Ampelos winery US
86956,France,90,Syrah,Paul Jaboulet Aîné,Paul Jaboulet Aîné winery France
86957,US,90,Chardonnay,Joseph Swan Vineyards,Joseph Swan Vineyards winery US
86960,France,90,Rosé,Domaine de l'Eole,Domaine de l'Eole winery France
86962,US,90,Pinot Noir,Williams Selyem,Williams Selyem winery US
86964,US,90,Cabernet Sauvignon,Carter,Carter winery US
86968,US,90,Cabernet Sauvignon,Raymond,Raymond winery US
86969,US,90,Chardonnay,The Eyrie Vineyards,The Eyrie Vineyards winery US
86970,France,90,Rosé,Château Beaulieu,Château Beaulieu winery France
86971,France,90,Rosé,Château Vignelaure,Château Vignelaure winery France
86972,US,89,Sauvignon Blanc,Stolo,Stolo winery US
86975,Germany,89,Riesling,Karl Schaefer,Karl Schaefer winery Germany
86976,Chile,89,Cabernet Sauvignon,Casas del Toqui,Casas del Toqui winery Chile
86977,France,89,Riesling,Jean-Baptiste Adam,Jean-Baptiste Adam winery France
86978,US,89,Cabernet Sauvignon,Koehler,Koehler winery US
86987,Germany,89,Riesling,August Kesseler,August Kesseler winery Germany
86988,Germany,89,Riesling,Villa Huesgen,Villa Huesgen winery Germany
86989,US,89,Rosé,Villa San Juliette,Villa San Juliette winery US
86994,France,89,Rosé,Château Trocard,Château Trocard winery France
86997,US,89,Pinot Noir,Dobbes Family Estate,Dobbes Family Estate winery US
86998,France,89,Rosé,Domaine G. Metz,Domaine G. Metz winery France
87001,Australia,89,Chardonnay,Hope Estate,Hope Estate winery Australia
87002,US,89,Pinot Noir,Chehalem,Chehalem winery US
87004,France,89,Sauvignon Blanc,Domaine Benoît & Mathieu Fleuriet,Domaine Benoît & Mathieu Fleuriet winery France
87006,France,89,Sauvignon Blanc,Domaine Matthias et Emile Roblin,Domaine Matthias et Emile Roblin winery France
87009,Italy,89,Syrah,Feudo Maccari,Feudo Maccari winery Italy
87010,France,89,Sauvignon Blanc,Gitton Père et Fils,Gitton Père et Fils winery France
87011,France,89,Sauvignon Blanc,Gitton Père et Fils,Gitton Père et Fils winery France
87016,Argentina,89,Cabernet Sauvignon,Terrazas de Los Andes,Terrazas de Los Andes winery Argentina
87017,New Zealand,89,Sauvignon Blanc,Wither Hills,Wither Hills winery New Zealand
87019,US,89,Pinot Noir,Mercy,Mercy winery US
87021,France,89,Pinot Noir,Paul Prieur et Fils,Paul Prieur et Fils winery France
87025,Germany,89,Riesling,Richard Böcking,Richard Böcking winery Germany
87027,US,89,Pinot Noir,Talisman,Talisman winery US
87028,France,89,Pinot Noir,Joseph Mellot,Joseph Mellot winery France
87029,US,89,Pinot Noir,King Estate,King Estate winery US
87032,France,86,Rosé,M. Chapoutier,M. Chapoutier winery France
87033,US,86,Sauvignon Blanc,Mersenne,Mersenne winery US
87034,US,86,Pinot Noir,One Leaf,One Leaf winery US
87036,US,86,Pinot Noir,River Road,River Road winery US
87038,France,86,Rosé,Les Costières de Pomerols,Les Costières de Pomerols winery France
87042,Chile,86,Sauvignon Blanc,Luis Felipe Edwards,Luis Felipe Edwards winery Chile
87043,US,86,Pinot Noir,Marimar Estate,Marimar Estate winery US
87044,France,86,Chardonnay,Mas Belles Eaux,Mas Belles Eaux winery France
87045,France,86,Rosé,Mas Belles Eaux,Mas Belles Eaux winery France
87046,Chile,86,Chardonnay,Ochagavia,Ochagavia winery Chile
87051,US,86,Chardonnay,Stephen Vincent,Stephen Vincent winery US
87055,Chile,86,Pinot Noir,Aresti,Aresti winery Chile
87058,France,86,Rosé,Jean-Luc and Paul Aegerter,Jean-Luc and Paul Aegerter winery France
87059,US,86,Pinot Noir,Josh Cellars,Josh Cellars winery US
87062,South Africa,88,Merlot,Post House,Post House winery South Africa
87063,South Africa,88,Syrah,Rijk's,Rijk's winery South Africa
87064,US,88,Pinot Noir,Siduri,Siduri winery US
87065,US,88,Cabernet Sauvignon,Six Sigma Ranch,Six Sigma Ranch winery US
87066,Italy,88,Chardonnay,Tiefenbrunner,Tiefenbrunner winery Italy
87072,US,88,Merlot,Decoy,Decoy winery US
87076,US,88,Cabernet Sauvignon,McGrail,McGrail winery US
87080,Italy,88,Chardonnay,Ronco del Gelso,Ronco del Gelso winery Italy
87081,Italy,88,Chardonnay,Salvano,Salvano winery Italy
87083,US,88,Pinot Noir,Sineann,Sineann winery US
87087,South Africa,88,Riesling,Thelema,Thelema winery South Africa
87091,US,85,Pinot Noir,Peter Paul Wines,Peter Paul Wines winery US
87094,US,85,Chardonnay,Redtree,Redtree winery US
87096,Argentina,85,Pinot Noir,Antucura,Antucura winery Argentina
87098,US,85,Chardonnay,Calera,Calera winery US
87099,US,85,Merlot,Castello di Borghese,Castello di Borghese winery US
87101,US,85,Syrah,Collier Falls,Collier Falls winery US
87102,France,85,Rosé,Domaine de Pontefract,Domaine de Pontefract winery France
87107,US,85,Pinot Noir,Hosmer,Hosmer winery US
87108,Chile,85,Pinot Noir,Undurraga,Undurraga winery Chile
87110,Chile,85,Merlot,Siegel,Siegel winery Chile
